,pm2d5(μg/m3),pm10(μg/m3),co(mg/m3),so2(μg/m3),no2(μg/m3),o3(μg/m3),voc(ppm),温度(℃),湿度(%),风向,风速(10m/s)
2025/2/14 11:08,44,55,1.37,6.8,225,-3.4,0.806,13.7,45.1,,
2025/2/14 11:08,44,55,1.36,6.6,220,-0.1,0.802,13.7,45.2,,
2025/2/14 11:08,46,56,1.37,6.3,222.9,0.8,0.801,13.8,45.3,,
2025/2/14 11:08,45,55,1.37,6.2,223.1,-0.8,0.799,13.7,45.5,,
2025/2/14 11:08,44,55,1.35,6.6,240.6,-8.2,0.794,13.8,45.6,,
2025/2/14 11:08,43,54,1.29,6.2,250,-12,0.792,13.8,45.7,,
2025/2/14 11:09,44,54,1.26,5.5,245.1,-7,0.792,13.8,45.8,,
2025/2/14 11:09,43,53,1.33,6,234.9,-2.3,0.788,13.8,45.9,,
2025/2/14 11:09,45,55,1.28,5.4,231.5,-12,0.785,13.8,46.1,,
2025/2/14 11:09,44,54,1.22,4.3,222.8,-8.8,0.782,13.9,46.1,,
2025/2/14 11:09,44,53,1.24,4.7,220.3,-0.2,0.782,13.9,46.2,,
2025/2/14 11:09,44,52,1.25,4.8,223.1,-3.4,0.779,13.9,46.3,,
2025/2/14 11:09,44,53,1.2,4.2,236.4,-12,0.776,13.9,46.4,,
2025/2/14 11:09,45,53,1.23,4.8,234.3,-8.7,0.774,13.9,46.6,,
2025/2/14 11:09,45,53,1.26,4.9,240,-15.1,0.772,14,46.7,,
2025/2/14 11:09,45,53,1.26,4.9,238.9,-18.8,0.771,14,46.8,,
2025/2/14 11:09,44,52,1.28,5.3,232.7,-16.2,0.768,14,46.8,,
2025/2/14 11:09,46,54,1.31,5.7,227.3,-8.5,0.768,14,47,,
2025/2/14 11:09,44,55,1.24,5.1,234.1,-8.2,0.765,14,47,,
2025/2/14 11:09,45,56,1.26,5.1,237.6,-10.9,0.765,14,47.1,,
2025/2/14 11:09,45,55,1.24,4.3,231.6,-11.5,0.763,14,47.2,,
2025/2/14 11:09,44,53,1.21,3.9,235.1,-16.3,0.762,14,47.3,,
2025/2/14 11:09,43,53,1.21,4.8,237.5,-9.8,0.76,14.1,47.4,,
2025/2/14 11:09,43,54,1.22,5.1,230.7,-11.9,0.759,14.1,47.5,,
2025/2/14 11:09,43,55,1.21,5,237.1,-14.2,0.758,14.1,47.6,,
2025/2/14 11:09,44,55,1.2,4.5,225.3,-6.2,0.755,14.1,47.7,,
2025/2/14 11:10,44,55,1.19,4.2,225.7,-5.3,0.754,14.2,47.7,,
2025/2/14 11:10,45,55,1.18,4.3,227.5,-5,0.752,14.2,47.9,,
2025/2/14 11:10,45,55,1.2,4.2,220.2,-3.8,0.752,14.2,47.9,,
2025/2/14 11:10,44,54,1.2,3.6,212.2,1.3,0.752,14.2,48,,
2025/2/14 11:10,44,53,1.2,3.5,210,-0.9,0.749,14.2,48,,
2025/2/14 11:10,43,51,1.13,2.8,223.2,-9.7,0.749,14.2,48.1,,
2025/2/14 11:10,43,53,1.15,4.9,230.6,-18.5,0.746,14.2,48.2,,
2025/2/14 11:10,44,55,1.17,6.8,212.6,-4.7,0.745,14.2,48.3,,
2025/2/14 11:10,46,57,1.15,8.4,214.4,-10.2,0.745,14.3,48.3,,
2025/2/14 11:10,46,58,1.12,9.7,213.5,-9.6,0.744,14.3,48.3,,
2025/2/14 11:10,44,55,1.12,10.6,209.4,-0.3,0.742,14.3,48.3,,
2025/2/14 11:10,45,56,1.15,11.4,209.3,1.1,0.742,14.3,48.4,,
2025/2/14 11:10,45,55,1.18,12.1,218.7,-6.3,0.739,14.3,48.4,,
2025/2/14 11:10,45,56,1.15,12.1,228.8,-13.7,0.739,14.3,48.4,,
2025/2/14 11:10,46,57,1.13,11.4,223.3,-16,0.739,14.4,48.4,,
2025/2/14 11:10,45,57,1.18,12.9,222.1,-9.7,0.736,14.4,48.5,,
2025/2/14 11:10,43,56,1.1,12,219,-0.2,0.735,14.4,48.5,,
2025/2/14 11:10,43,55,1.08,12,216,-7.6,0.733,14.4,48.6,,
2025/2/14 11:10,46,58,1.06,12.7,223.3,-9.2,0.732,14.4,48.7,,
2025/2/14 11:10,47,57,1.04,12.9,233.9,-13.9,0.732,14.4,48.7,,
2025/2/14 11:11,47,57,1.05,12.8,239.2,-22.5,0.731,14.5,48.8,,
2025/2/14 11:11,48,58,1.07,13.1,237.2,-23.4,0.729,14.5,48.8,,
2025/2/14 11:11,46,56,1.09,13.2,237.4,-19,0.729,14.5,48.9,,
2025/2/14 11:11,47,56,1.04,12.5,235.5,-12,0.729,14.5,48.9,,
2025/2/14 11:11,46,56,1.11,13.2,226.5,-8.6,0.729,14.5,48.9,,
2025/2/14 11:11,45,56,1.09,12.3,225.4,-21.5,0.725,14.5,49,,
2025/2/14 11:11,44,55,1.11,12.8,218.9,-5.1,0.725,14.5,49.1,,
2025/2/14 11:11,43,54,1.08,11.7,215.1,-22,0.725,14.5,49.1,,
2025/2/14 11:11,43,52,1.08,12.1,205.1,-6.9,0.723,14.5,49.1,,
2025/2/14 11:11,43,51,1.09,12.7,208.2,-5.3,0.722,14.6,49.2,,
2025/2/14 11:11,43,51,1.07,12.4,210.5,-11.6,0.721,14.6,49.2,,
2025/2/14 11:11,43,51,1.06,12.3,199.6,-5.6,0.719,14.6,49.2,,
2025/2/14 11:11,44,52,1.07,12.6,200.6,-2.7,0.719,14.6,49.3,,
2025/2/14 11:11,45,54,1.04,11.9,215.3,-15.2,0.719,14.6,49.3,,
2025/2/14 11:11,46,55,1.02,11.5,212.4,-11.3,0.716,14.6,49.3,,
2025/2/14 11:11,45,54,1.02,11.6,201.5,-8.4,0.716,14.7,49.3,,
2025/2/14 11:11,45,53,1.04,12.1,205.4,-8.4,0.716,14.7,49.3,,
2025/2/14 11:11,43,51,1.04,11.6,199.4,3.8,0.713,14.7,49.3,,
2025/2/14 11:11,43,51,1.04,11.3,197.1,-4.1,0.712,14.7,49.3,,
2025/2/14 11:11,43,52,1.04,11.8,192.7,2.8,0.713,14.7,49.3,,
2025/2/14 11:12,44,53,1.03,11.7,201.4,-5.8,0.715,14.7,49.3,,
2025/2/14 11:12,45,54,1.02,11.4,215.5,-17.7,0.711,14.7,49.3,,
2025/2/14 11:12,44,53,1.02,11.4,203.8,-11.1,0.709,14.8,49.3,,
2025/2/14 11:12,43,52,1.02,11.5,194.6,-3.9,0.709,14.8,49.3,,
2025/2/14 11:12,42,51,1.08,12,194.7,-1.5,0.709,14.8,49.3,,
2025/2/14 11:12,42,50,1.04,11.4,197.7,-11.4,0.706,14.8,49.3,,
2025/2/14 11:12,43,50,1.04,11.1,195.2,-10.1,0.706,14.8,49.3,,
2025/2/14 11:12,44,52,1.02,11.1,185.8,-5.8,0.706,14.8,49.3,,
2025/2/14 11:12,44,52,0.99,10.3,203,-13.8,0.706,14.8,49.3,,
2025/2/14 11:12,45,55,1,11.3,190.9,-2.8,0.703,14.8,49.2,,
2025/2/14 11:12,44,55,1,10.8,197.3,-3.4,0.702,14.8,49.2,,
2025/2/14 11:12,44,54,0.99,10.4,190.1,1.2,0.702,14.9,49.2,,
2025/2/14 11:12,43,52,0.98,10.8,200,-7.5,0.701,14.9,49.2,,
2025/2/14 11:12,42,51,0.98,11,203.5,-9.2,0.699,14.9,49.2,,
2025/2/14 11:12,42,51,1.02,11,198.4,-2.3,0.699,14.9,49.2,,
2025/2/14 11:12,43,52,0.99,10.6,200.1,-4.4,0.699,14.9,49.2,,
2025/2/14 11:12,43,51,0.97,10.7,195.9,3.6,0.699,14.9,49.2,,
2025/2/14 11:12,44,53,0.99,11,204.6,-6.7,0.696,14.9,49.2,,
2025/2/14 11:12,44,54,0.99,11.6,205.8,-5.8,0.696,14.9,49.1,,
2025/2/14 11:12,44,54,0.98,11.2,208.1,-5.7,0.696,15,49.1,,
2025/2/14 11:13,45,54,0.97,10.7,204.9,-5.6,0.696,15,49.1,,
2025/2/14 11:13,44,52,0.98,10.7,199.8,-2.7,0.696,15,49.1,,
2025/2/14 11:13,44,53,0.98,10.7,181.1,3.1,0.695,15,49.2,,
2025/2/14 11:13,45,54,0.97,10.6,181,0.6,0.692,15,49.2,,
2025/2/14 11:13,45,54,0.98,10.5,187.3,-4.8,0.692,15,49.1,,
2025/2/14 11:13,46,55,1.01,10.8,193.1,-8.9,0.692,15,49.2,,
2025/2/14 11:13,45,56,1.04,11.3,197.8,-6.8,0.689,15,49.2,,
2025/2/14 11:13,47,58,0.99,10.7,202.1,-4,0.689,15,49.2,,
2025/2/14 11:13,47,59,0.9,10.4,200.5,-3.8,0.689,15.1,49.2,,
2025/2/14 11:13,45,56,0.94,11.1,189.3,0.2,0.687,15.1,49.2,,
2025/2/14 11:13,46,55,0.95,11.1,187.3,-2.3,0.686,15.1,49.2,,
2025/2/14 11:13,45,54,0.94,10.8,193.7,-1.9,0.686,15.1,49.2,,
2025/2/14 11:13,45,54,0.91,10.3,203.9,-10.7,0.686,15.1,49.2,,
2025/2/14 11:13,43,52,0.87,10,208.1,-12.7,0.685,15.1,49.2,,
2025/2/14 11:13,45,55,0.93,10.6,183.4,5,0.683,15.1,49.2,,
2025/2/14 11:13,44,53,0.99,10.9,172.1,11.9,0.683,15.1,49.2,,
2025/2/14 11:13,45,53,0.97,10.8,173.4,5,0.683,15.2,49.2,,
2025/2/14 11:13,44,52,0.94,10.4,176.9,-0.5,0.683,15.2,49.1,,
2025/2/14 11:13,44,53,0.9,9.6,184.4,-0.9,0.679,15.2,49.1,,
2025/2/14 11:13,43,51,0.9,9.6,186.2,-3.2,0.679,15.2,49.1,,
2025/2/14 11:14,43,51,0.94,9.9,183.2,-2.2,0.679,15.2,49.1,,
2025/2/14 11:14,43,52,0.94,9.8,179.2,4.2,0.677,15.2,49,,
2025/2/14 11:14,44,55,0.95,10.2,194.5,-8.6,0.676,15.2,49,,
2025/2/14 11:14,44,54,0.95,10.3,196.6,-13,0.676,15.2,49,,
2025/2/14 11:14,43,54,0.91,9.9,193.6,-8.7,0.676,15.2,48.9,,
2025/2/14 11:14,43,54,0.91,10,190.1,-0.2,0.676,15.2,48.9,,
2025/2/14 11:14,45,56,0.94,9.9,184.6,1.3,0.673,15.3,48.9,,
2025/2/14 11:14,45,56,0.88,9.1,187,-2.3,0.675,15.3,48.9,,
2025/2/14 11:14,45,55,0.93,9.5,184.2,2.4,0.673,15.3,48.9,,
2025/2/14 11:14,45,55,0.99,11,180.6,8.1,0.673,15.3,48.8,,
2025/2/14 11:14,44,54,0.94,10.3,186.9,1.8,0.673,15.3,48.8,,
2025/2/14 11:14,44,54,0.87,9.7,189.9,3.9,0.669,15.3,48.8,,
2025/2/14 11:14,45,53,0.92,9.6,176.9,4.8,0.669,15.3,48.9,,
2025/2/14 11:14,44,52,0.89,10,173.9,13,0.669,15.3,48.8,,
2025/2/14 11:14,45,53,0.9,9.6,197.9,-15.4,0.669,15.3,48.8,,
2025/2/14 11:14,45,54,0.9,9.7,181.3,1.3,0.669,15.4,48.8,,
2025/2/14 11:14,44,54,0.9,10,189.7,-0.9,0.668,15.4,48.7,,
2025/2/14 11:14,44,53,0.9,9.9,177.3,4.2,0.666,15.4,48.8,,
2025/2/14 11:14,44,53,0.88,9.4,165.5,10,0.666,15.4,48.8,,
2025/2/14 11:14,44,52,0.89,9.3,164,9.2,0.666,15.4,48.7,,
2025/2/14 11:15,43,51,0.87,9.1,165.2,8.8,0.663,15.4,48.7,,
2025/2/14 11:15,43,51,0.89,9.5,173.9,5.2,0.663,15.4,48.7,,
2025/2/14 11:15,44,54,0.96,9.7,189.1,-3,0.663,15.4,48.6,,
2025/2/14 11:15,44,55,0.85,8.7,179.4,2,0.663,15.4,48.6,,
2025/2/14 11:15,45,56,0.85,9.2,157.6,17.2,0.663,15.4,48.6,,
2025/2/14 11:15,44,55,0.89,9.7,170.5,8.5,0.66,15.4,48.6,,
2025/2/14 11:15,45,55,0.88,9.9,185.5,3,0.659,15.4,48.5,,
2025/2/14 11:15,45,54,0.87,9.6,186.8,-0.5,0.659,15.5,48.5,,
2025/2/14 11:15,44,53,0.85,9.2,180.9,3,0.659,15.4,48.5,,
2025/2/14 11:15,42,50,0.81,8.6,188,0.2,0.659,15.5,48.5,,
2025/2/14 11:15,42,50,0.84,9.1,190.7,-1.2,0.659,15.5,48.5,,
2025/2/14 11:15,44,52,0.82,9.4,189.2,-1.7,0.656,15.5,48.5,,
2025/2/14 11:15,44,53,0.89,10.6,185.7,3.9,0.656,15.5,48.5,,
2025/2/14 11:15,44,53,0.89,9.4,172.4,10.5,0.656,15.5,48.5,,
2025/2/14 11:15,44,53,0.86,9.6,193.4,-5.9,0.656,15.5,48.5,,
2025/2/14 11:15,43,52,0.84,9.1,191.7,-5.7,0.654,15.5,48.5,,
2025/2/14 11:15,43,52,0.84,9.2,187.3,1.4,0.653,15.5,48.5,,
2025/2/14 11:15,44,52,0.86,9.8,189.6,-2.7,0.653,15.5,48.5,,
2025/2/14 11:15,43,51,0.85,9.5,192.4,-7.1,0.653,15.5,48.6,,
2025/2/14 11:15,43,51,0.84,9.2,189.2,-3.3,0.653,15.5,48.5,,
2025/2/14 11:16,43,51,0.86,9.6,183.9,2.4,0.653,15.6,48.6,,
2025/2/14 11:16,43,52,0.8,9.5,179.2,7.4,0.653,15.6,48.5,,
2025/2/14 11:16,43,52,0.87,10.4,182.9,5.8,0.649,15.6,48.6,,
2025/2/14 11:16,43,53,0.87,8.8,184.2,2.5,0.649,15.6,48.6,,
2025/2/14 11:16,43,54,0.87,9.7,181.5,6.2,0.649,15.6,48.6,,
2025/2/14 11:16,43,54,0.87,9.9,192,-4.8,0.649,15.6,48.6,,
2025/2/14 11:16,43,54,0.84,9.3,196.4,-10.4,0.649,15.6,48.6,,
2025/2/14 11:16,44,55,0.84,9.3,183.6,2.8,0.644,15.6,48.6,,
2025/2/14 11:16,44,54,0.84,9.2,186.3,-4.1,0.641,15.7,48.6,,
2025/2/14 11:16,46,56,0.86,9.2,189.9,-5.9,0.641,15.6,48.6,,
2025/2/14 11:16,44,53,0.88,9.4,199.6,-10.2,0.641,15.7,48.7,,
2025/2/14 11:16,45,55,0.87,9.8,203.8,-15.2,0.641,15.7,48.7,,
2025/2/14 11:16,45,56,0.87,9.9,202.9,-10.6,0.641,15.7,48.7,,
2025/2/14 11:16,45,56,0.8,8.7,198.1,-6.1,0.641,15.7,48.7,,
2025/2/14 11:16,44,55,0.87,10.1,189.8,1.9,0.641,15.7,48.8,,
2025/2/14 11:16,43,55,0.82,9.4,187.6,-2.4,0.636,15.7,48.8,,
2025/2/14 11:16,46,57,0.82,9.3,184.5,3.5,0.633,15.7,48.8,,
2025/2/14 11:16,45,56,0.87,9.7,187.5,2,0.633,15.7,48.9,,
2025/2/14 11:16,44,55,0.86,9.4,193.8,-7.2,0.633,15.7,48.9,,
2025/2/14 11:16,43,53,0.8,8.5,204.3,-15.9,0.633,15.7,48.9,,
2025/2/14 11:17,44,54,0.75,7.8,196.6,-10.7,0.633,15.7,48.9,,
2025/2/14 11:17,45,55,0.8,8.2,191.1,-6.1,0.63,15.7,49,,
2025/2/14 11:17,45,54,0.79,8.6,190.4,-6.3,0.625,15.8,49,,
2025/2/14 11:17,44,52,0.87,9.2,191.7,-10.4,0.625,15.8,49,,
2025/2/14 11:17,44,55,0.82,9.5,199.9,-14.8,0.625,15.8,49,,
2025/2/14 11:17,45,56,0.87,9.7,201.1,-17.2,0.625,15.8,49,,
2025/2/14 11:17,44,54,0.84,9.2,184.9,-0.5,0.625,15.8,49.1,,
2025/2/14 11:17,43,53,0.84,9.4,180,5.6,0.625,15.8,49.1,,
2025/2/14 11:17,42,51,0.81,9.1,172.9,7.4,0.62,15.8,49.1,,
2025/2/14 11:17,44,53,0.81,9.2,185.2,-0.3,0.617,15.8,49.1,,
2025/2/14 11:17,44,53,0.83,9.7,188,-4.2,0.617,15.8,49.1,,
2025/2/14 11:17,43,52,0.84,9.6,195.4,-11.8,0.617,15.8,49.1,,
2025/2/14 11:17,42,51,0.81,8.7,189.4,-9,0.617,15.8,49.1,,
2025/2/14 11:17,43,51,0.84,8.7,181.6,-3.1,0.617,15.9,49.1,,
2025/2/14 11:17,44,52,0.84,8.9,177.3,2.1,0.617,15.9,49.1,,
2025/2/14 11:17,44,53,0.82,8.8,179.1,1.9,0.617,15.9,49.1,,
2025/2/14 11:17,44,52,0.77,8.5,180.3,5.5,0.609,15.9,49.1,,
2025/2/14 11:17,45,53,0.82,8.8,177,4.9,0.609,15.9,49.1,,
2025/2/14 11:17,43,52,0.83,9,170.9,5.5,0.609,15.9,49.1,,
2025/2/14 11:17,43,52,0.79,8.8,175.4,1.9,0.609,15.9,49.2,,
2025/2/14 11:18,43,52,0.82,9.2,192,-7.6,0.609,15.9,49.2,,
2025/2/14 11:18,44,54,0.83,9.2,194.3,-8.7,0.606,15.9,49.2,,
2025/2/14 11:18,42,52,0.82,8.7,191.4,-7.4,0.601,15.9,49.2,,
2025/2/14 11:18,43,52,0.84,9,188.3,-4.5,0.601,15.9,49.2,,
2025/2/14 11:18,44,52,0.82,9.2,197,-7.8,0.601,16,49.3,,
2025/2/14 11:18,42,51,0.79,9.4,185.7,-1.5,0.601,15.9,49.2,,
2025/2/14 11:18,44,54,0.74,8.7,168.1,12.4,0.601,16,49.3,,
2025/2/14 11:18,46,55,0.79,8.2,182.3,-4.4,0.601,16,49.3,,
2025/2/14 11:18,45,55,0.83,8.7,194.1,-9.3,0.601,16,49.3,,
2025/2/14 11:18,46,56,0.81,8.8,197,-13.2,0.601,16,49.3,,
2025/2/14 11:18,45,53,0.8,8.7,189.1,-5.7,0.601,16,49.3,,
2025/2/14 11:18,44,53,0.81,8.4,184.7,-8.1,0.598,16,49.4,,
2025/2/14 11:18,45,54,0.79,8.2,182.6,-5.8,0.593,16,49.4,,
2025/2/14 11:18,45,54,0.79,8.6,182.6,-2.1,0.593,16,49.4,,
2025/2/14 11:18,46,55,0.79,8.4,184.2,-3.3,0.593,16.1,49.4,,
2025/2/14 11:18,44,54,0.82,8.8,180.6,1.2,0.593,16,49.4,,
2025/2/14 11:18,45,55,0.79,8.5,174.2,4.3,0.593,16.1,49.4,,
2025/2/14 11:18,45,55,0.81,7.8,181.1,-3.8,0.593,16.1,49.4,,
2025/2/14 11:18,44,53,0.8,8.7,166.4,3.1,0.593,16.1,49.4,,
2025/2/14 11:19,43,51,0.81,8.4,167.4,5.5,0.587,16.1,49.3,,
2025/2/14 11:19,43,50,0.83,8.3,192.9,-15.3,0.584,16.1,49.4,,
2025/2/14 11:19,43,50,0.82,8.4,183.5,-7.1,0.584,16.1,49.4,,
2025/2/14 11:19,43,50,0.78,8.4,175.8,4.4,0.584,16.1,49.3,,
2025/2/14 11:19,43,52,0.8,8.7,174,6.3,0.584,16.1,49.3,,
2025/2/14 11:19,44,53,0.86,9,172.4,4.6,0.584,16.1,49.3,,
2025/2/14 11:19,43,53,0.76,8.2,175.3,3.4,0.584,16.2,49.3,,
2025/2/14 11:19,43,52,0.74,8.6,187.5,-4.7,0.576,16.2,49.3,,
2025/2/14 11:19,43,53,0.76,8.4,188.8,-12.2,0.576,16.2,49.3,,
2025/2/14 11:19,44,53,0.76,8.6,184.7,2,0.576,16.2,49.3,,
2025/2/14 11:19,44,52,0.78,8.5,182.8,-5,0.576,16.2,49.3,,
2025/2/14 11:19,45,54,0.79,8.5,170.9,1.4,0.576,16.2,49.3,,
2025/2/14 11:19,46,55,0.79,8.7,169.9,1.7,0.576,16.2,49.2,,
2025/2/14 11:19,46,57,0.8,8.4,175.9,-2.9,0.576,16.2,49.3,,
2025/2/14 11:19,45,56,0.8,8.1,174.7,-3,0.576,16.2,49.2,,
2025/2/14 11:19,46,56,0.77,7.8,170.4,0.6,0.576,16.2,49.2,,
2025/2/14 11:19,46,56,0.79,7.8,170.9,1.7,0.576,16.2,49.2,,
2025/2/14 11:19,44,55,0.81,7.8,178.6,-5.6,0.568,16.3,49.2,,
2025/2/14 11:19,45,57,0.81,8.1,171.7,-2.8,0.568,16.3,49.2,,
2025/2/14 11:19,43,56,0.79,7.8,162.7,8.3,0.568,16.3,49.1,,
2025/2/14 11:20,43,55,0.84,8.6,166.2,3.9,0.568,16.3,49.1,,
2025/2/14 11:20,43,53,0.82,8.1,166.5,6,0.568,16.3,49,,
2025/2/14 11:20,45,55,0.8,8.3,161.2,8.6,0.565,16.3,49,,
2025/2/14 11:20,46,56,0.79,8.3,168.1,8,0.56,16.3,49,,
2025/2/14 11:20,45,55,0.79,8.3,171.4,6.6,0.56,16.3,49,,
2025/2/14 11:20,45,55,0.78,8.6,177,-0.2,0.56,16.3,49,,
2025/2/14 11:20,43,52,0.76,8.5,187.3,-4.4,0.56,16.3,49,,
2025/2/14 11:20,44,51,0.74,7.9,176.9,-0.1,0.56,16.4,49,,
2025/2/14 11:20,43,51,0.76,7.9,165.4,0.2,0.56,16.4,49,,
2025/2/14 11:20,43,53,0.78,8.1,175.8,-4.2,0.56,16.4,49,,
2025/2/14 11:20,44,53,0.78,8.1,168,1.5,0.56,16.4,48.9,,
2025/2/14 11:20,43,52,0.78,8.1,178.8,-8.8,0.56,16.4,48.9,,
2025/2/14 11:20,44,53,0.8,8.4,177.1,-5.3,0.56,16.4,49,,
2025/2/14 11:20,44,54,0.81,8.4,170.8,3.3,0.56,16.4,48.9,,
2025/2/14 11:20,43,53,0.82,8.4,169.6,5.7,0.557,16.4,48.9,,
2025/2/14 11:20,43,52,0.8,8.3,171.7,1.5,0.552,16.4,48.9,,
2025/2/14 11:20,43,53,0.74,7.8,166.7,1.5,0.56,16.4,48.9,,
2025/2/14 11:20,44,55,0.76,7.7,161,6.4,0.552,16.4,48.9,,
2025/2/14 11:20,45,53,0.81,8.5,168.1,1.3,0.552,16.4,48.8,,
2025/2/14 11:21,45,55,0.76,7.7,159.9,5,0.552,16.4,48.8,,
2025/2/14 11:21,44,52,0.81,8.1,163.5,1.4,0.552,16.5,48.8,,
2025/2/14 11:21,43,51,0.75,7.5,154.8,4.6,0.552,16.5,48.8,,
2025/2/14 11:21,46,55,0.76,7.3,132.1,22.2,0.552,16.5,48.8,,
2025/2/14 11:21,45,57,0.78,7.5,128.2,20.5,0.552,16.5,48.7,,
2025/2/14 11:21,47,60,0.8,7.6,131.6,16.2,0.552,16.5,48.6,,
2025/2/14 11:21,47,60,0.81,7.5,133,14.4,0.549,16.5,48.5,,
2025/2/14 11:21,46,58,0.74,7,132.7,16,0.544,16.5,48.4,,
2025/2/14 11:21,46,57,0.71,6.6,137.6,14.6,0.544,16.5,48.4,,
2025/2/14 11:21,44,55,0.76,7.7,146.1,14.6,0.544,16.5,48.3,,
2025/2/14 11:21,45,56,0.8,7.9,145.9,17.8,0.544,16.5,48.2,,
2025/2/14 11:21,46,57,0.73,7.1,144,13.4,0.544,16.5,48.1,,
2025/2/14 11:21,45,56,0.75,7.1,165.3,-1,0.544,16.5,48,,
2025/2/14 11:21,47,57,0.77,7.8,180.8,-6.5,0.544,16.5,48,,
