,pm2d5(μg/m3),pm10(μg/m3),co(mg/m3),so2(μg/m3),no2(μg/m3),o3(μg/m3),voc(ppm),温度(℃),湿度(%),风向,风速(10m/s)
2025/2/12 13:30,0,0,2.07,24.9,166.7,64.2,0.581,20,32.2,,
2025/2/12 13:30,0,0,2.06,24.6,167.7,60.5,0.581,20,32.1,,
2025/2/12 13:30,0,0,2.08,24.4,171.1,52.9,0.573,20,32.1,,
2025/2/12 13:30,1,1,2.11,24.6,163.9,57.3,0.568,20,32.1,,
2025/2/12 13:31,2.2,2.2,1.998,23.37,144.525,70.025,0.5516000000000002,20.169999999999998,31.90999999999999,,
2025/2/12 13:31,3,3,2.08,24.5,156.2,67.7,0.568,20,32.1,,
2025/2/12 13:31,3,3,2.06,24.7,149,77.3,0.56,20.1,32.1,,
2025/2/12 13:31,2,2,2.06,24.1,150.2,76.2,0.56,20.1,32.1,,
2025/2/12 13:31,1,1,1.98,23.4,154.7,65.7,0.56,20.1,32,,
2025/2/12 13:31,0,0,2.06,24.1,154.7,64.2,0.56,20.1,32,,
2025/2/12 13:31,0,0,2.06,23.8,157.9,70.4,0.56,20.1,32,,
2025/2/12 13:31,0,0,2.01,23.5,155,65.9,0.555,20.1,32,,
2025/2/12 13:31,1,1,1.98,23.2,142.1,74.1,0.552,20.1,31.9,,
2025/2/12 13:31,1,1,1.97,23.1,144.1,72.5,0.552,20.1,32,,
2025/2/12 13:31,0,0,1.98,23.3,136.4,77.9,0.552,20.2,31.9,,
2025/2/12 13:31,0,0,2.02,23.6,136.4,77.6,0.552,20.2,31.9,,
2025/2/12 13:31,0,0,1.98,23.4,138.4,74.1,0.552,20.2,31.8,,
2025/2/12 13:31,0,0,1.98,23.1,140.1,68.1,0.544,20.2,31.8,,
2025/2/12 13:31,0,0,1.93,22.6,141.1,69.6,0.544,20.2,31.8,,
2025/2/12 13:31,0,0,1.96,22.4,133.9,65.9,0.544,20.2,31.8,,
2025/2/12 13:31,0,0,1.93,22.8,133.9,75.9,0.544,20.2,31.8,,
2025/2/12 13:31,9,9,1.98,22.7,140.5,65.9,0.544,20.3,31.8,,
2025/2/12 13:31,10,10,1.97,22.9,137.5,65.2,0.544,20.3,31.8,,
2025/2/12 13:31,10,10,1.99,23.1,143.1,63,0.544,20.3,31.8,,
2025/2/12 13:31,4,4,1.98,23.1,145.3,63.3,0.541,20.3,31.8,,
2025/2/12 13:32,1.4,1.4,1.77,19.759999999999998,119.5,73.06,0.5160000000000001,20.425,31.564999999999998,,
2025/2/12 13:32,4,4,1.93,22.8,149.4,63.7,0.536,20.3,31.7,,
2025/2/12 13:32,4,4,1.94,23,161.5,55.1,0.536,20.3,31.7,,
2025/2/12 13:32,3,3,1.96,22.8,158.6,52.4,0.536,20.3,31.7,,
2025/2/12 13:32,3,3,1.93,22,138.6,64.3,0.528,20.3,31.7,,
2025/2/12 13:32,4,4,1.96,21.7,129.8,67,0.528,20.4,31.7,,
2025/2/12 13:32,4,4,1.88,21.5,129.1,70.7,0.528,20.4,31.7,,
2025/2/12 13:32,3,3,1.86,20.8,119,75.5,0.522,20.4,31.6,,
2025/2/12 13:32,3,3,1.8,20.1,104.4,88.8,0.519,20.4,31.6,,
2025/2/12 13:32,0,0,1.73,19.2,112.4,72.7,0.514,20.4,31.6,,
2025/2/12 13:32,0,0,1.71,18.7,106.4,72.3,0.511,20.4,31.6,,
2025/2/12 13:32,0,0,1.71,18.8,110,80,0.511,20.4,31.6,,
2025/2/12 13:32,0,0,1.72,19.1,110.8,79.3,0.511,20.5,31.5,,
2025/2/12 13:32,0,0,1.71,18.9,112.4,72.6,0.511,20.5,31.5,,
2025/2/12 13:32,0,0,1.63,18,112.9,75.3,0.511,20.5,31.5,,
2025/2/12 13:32,0,0,1.69,18.7,104,81.3,0.503,20.5,31.5,,
2025/2/12 13:32,0,0,1.63,17.7,108.7,74.7,0.503,20.5,31.5,,
2025/2/12 13:32,0,0,1.69,18,104.7,77.9,0.503,20.5,31.4,,
2025/2/12 13:32,0,0,1.63,17.8,105.2,80.5,0.503,20.5,31.4,,
2025/2/12 13:32,0,0,1.62,17.7,109.4,75.1,0.503,20.5,31.4,,
2025/2/12 13:32,0,0,1.67,17.9,102.7,82,0.503,20.5,31.4,,
2025/2/12 13:33,3.4,3.4,1.6075,17.61,105.56000000000002,77.375,0.49009999999999987,20.674999999999994,31.205000000000002,,
2025/2/12 13:33,0,0,1.67,18.1,104.5,80.4,0.503,20.6,31.4,,
2025/2/12 13:33,0,0,1.66,18,106,74.8,0.503,20.6,31.4,,
2025/2/12 13:33,0,0,1.71,18.4,108.3,72.3,0.503,20.6,31.4,,
2025/2/12 13:33,0,0,1.69,18.3,108.9,71.3,0.495,20.6,31.3,,
2025/2/12 13:33,0,0,1.61,17.7,98,79.7,0.495,20.6,31.3,,
2025/2/12 13:33,0,0,1.63,18.1,97,91.2,0.495,20.6,31.3,,
2025/2/12 13:33,0,0,1.61,17.8,107.7,71.1,0.495,20.6,31.2,,
2025/2/12 13:33,6,6,1.59,17.5,115,66.8,0.49,20.7,31.2,,
2025/2/12 13:33,19,19,1.6,17.6,102.6,87.6,0.487,20.7,31.2,,
2025/2/12 13:33,20,20,1.61,17.8,105.2,76.1,0.487,20.7,31.2,,
2025/2/12 13:33,21,21,1.59,17.4,108.7,77.1,0.487,20.7,31.2,,
2025/2/12 13:33,1,1,1.55,17.1,101,83,0.487,20.7,31.2,,
2025/2/12 13:33,1,1,1.56,17.4,104.5,78.2,0.487,20.7,31.2,,
2025/2/12 13:33,0,0,1.57,17.4,109.3,75.7,0.487,20.7,31.1,,
2025/2/12 13:33,0,0,1.55,17.2,106.7,77.5,0.487,20.7,31.1,,
2025/2/12 13:33,0,0,1.5,16.5,101.5,77.2,0.487,20.7,31.1,,
2025/2/12 13:33,0,0,1.55,17,106.5,73.9,0.487,20.7,31.1,,
2025/2/12 13:33,0,0,1.61,17.2,108.9,69.6,0.482,20.7,31,,
2025/2/12 13:33,0,0,1.66,17.9,108.6,85.2,0.479,20.8,31.1,,
2025/2/12 13:33,0,0,1.63,17.8,102.3,78.8,0.479,20.8,31.1,,
2025/2/12 13:34,6.45,6.45,1.5450000000000002,16.889999999999997,106.12,75.97,0.47205,20.92,30.84500000000001,,
2025/2/12 13:34,0,0,1.59,17,93,82.3,0.479,20.8,31,,
2025/2/12 13:34,0,0,1.55,16.7,93.5,83.3,0.479,20.8,31,,
2025/2/12 13:34,0,0,1.51,16.4,98.6,78.8,0.476,20.8,31,,
2025/2/12 13:34,0,0,1.51,16.4,102.4,74.4,0.471,20.9,31,,
2025/2/12 13:34,0,0,1.47,16.1,103.3,73.9,0.471,20.9,30.9,,
2025/2/12 13:34,0,0,1.5,16.2,99.5,79.6,0.471,20.9,30.9,,
2025/2/12 13:34,0,0,1.47,16.3,96.6,79.4,0.471,20.9,30.9,,
2025/2/12 13:34,0,0,1.55,17.2,102.6,76.7,0.471,20.9,30.9,,
2025/2/12 13:34,2,2,1.51,16.6,103.3,74.8,0.471,20.9,30.9,,
2025/2/12 13:34,17,17,1.55,17.2,109.8,76.8,0.471,20.9,30.9,,
2025/2/12 13:34,24,24,1.56,17.4,109.5,71,0.471,20.9,30.8,,
2025/2/12 13:34,22,22,1.53,17,106.5,68.6,0.471,20.9,30.8,,
2025/2/12 13:34,21,21,1.53,16.8,106.2,72.1,0.471,20.9,30.8,,
2025/2/12 13:34,14,14,1.57,17.2,106.3,77.8,0.471,21,30.8,,
2025/2/12 13:34,0,0,1.6,17.6,109,83.2,0.471,21,30.8,,
2025/2/12 13:34,7,7,1.58,17.4,116.7,77.6,0.471,21,30.7,,
2025/2/12 13:34,7,7,1.58,17.3,119.4,73.3,0.471,21,30.7,,
2025/2/12 13:34,8,8,1.66,17.5,119.9,65,0.471,21,30.7,,
2025/2/12 13:34,6,6,1.52,16.6,111,76.3,0.471,21,30.7,,
2025/2/12 13:34,1,1,1.56,16.9,115.3,74.5,0.471,21,30.7,,
2025/2/12 13:35,4.65,4.65,1.4729999999999999,16.3,104.29999999999998,77.81500000000001,0.45975,21.119999999999994,30.544999999999998,,
2025/2/12 13:35,1,1,1.6,17.6,114.8,77.4,0.471,21,30.7,,
2025/2/12 13:35,1,1,1.53,16.9,111.7,77.4,0.471,21,30.7,,
2025/2/12 13:35,1,1,1.5,16.4,117.6,70.2,0.471,21,30.7,,
2025/2/12 13:35,3,3,1.48,16.6,114,74,0.471,21,30.6,,
2025/2/12 13:35,3,3,1.47,16.7,109.3,78.3,0.471,21.1,30.6,,
2025/2/12 13:35,3,3,1.52,16.6,105.1,80,0.463,21.1,30.6,,
2025/2/12 13:35,1,1,1.55,16.7,101.5,80.8,0.463,21.1,30.6,,
2025/2/12 13:35,1,1,1.47,16.3,102.1,81,0.463,21.1,30.6,,
2025/2/12 13:35,1,1,1.55,17.1,102.3,79.6,0.457,21.1,30.6,,
2025/2/12 13:35,0,0,1.53,17.1,104.4,77.7,0.454,21.1,30.5,,
2025/2/12 13:35,0,0,1.49,16.5,104.1,77.5,0.454,21.1,30.5,,
2025/2/12 13:35,7,7,1.47,16.2,105.1,71.5,0.454,21.1,30.5,,
2025/2/12 13:35,6,6,1.47,15.8,102.3,75.3,0.454,21.2,30.5,,
2025/2/12 13:35,6,6,1.45,15.8,100.6,80.9,0.454,21.2,30.5,,
2025/2/12 13:35,12,12,1.4,15.8,104.9,76.4,0.454,21.2,30.5,,
2025/2/12 13:35,10,10,1.38,15.5,106.1,71.8,0.454,21.2,30.5,,
2025/2/12 13:35,10,10,1.41,15.4,102.1,75.2,0.454,21.2,30.5,,
2025/2/12 13:35,9,9,1.44,16,95.5,80.8,0.454,21.2,30.4,,
2025/2/12 13:35,9,9,1.38,15.3,90,88.1,0.454,21.2,30.4,,
2025/2/12 13:35,9,9,1.37,15.7,92.5,82.4,0.454,21.2,30.4,,
2025/2/12 13:36,21.15,24.45,1.3495,15.024999999999997,90.755,81.13500000000002,0.45289999999999997,21.334999999999994,30.255000000000003,,
2025/2/12 13:36,9,9,1.39,15.6,104.5,70.6,0.454,21.2,30.4,,
2025/2/12 13:36,9,9,1.41,15.7,104,75.2,0.454,21.2,30.4,,
2025/2/12 13:36,0,0,1.4,15.4,101.9,74.5,0.454,21.3,30.4,,
2025/2/12 13:36,0,0,1.39,15.2,103.3,74.5,0.454,21.3,30.3,,
2025/2/12 13:36,0,0,1.41,15.5,102.2,76.2,0.454,21.3,30.3,,
2025/2/12 13:36,0,0,1.4,15.5,100,76.8,0.454,21.3,30.3,,
2025/2/12 13:36,0,0,1.38,15.3,95.4,78.9,0.454,21.3,30.3,,
2025/2/12 13:36,0,0,1.33,15,87.9,84.2,0.463,21.3,30.3,,
2025/2/12 13:36,0,0,1.41,15.6,84.5,80.9,0.454,21.3,30.3,,
2025/2/12 13:36,0,0,1.33,15.2,88.8,83.5,0.449,21.3,30.3,,
2025/2/12 13:36,0,0,1.31,14.7,86.5,86.5,0.446,21.3,30.2,,
2025/2/12 13:36,0,0,1.37,15,80.6,83.7,0.446,21.4,30.2,,
2025/2/12 13:36,0,0,1.37,15,82.6,82.6,0.449,21.4,30.2,,
2025/2/12 13:36,40,40,1.32,14.7,84.9,86.3,0.454,21.4,30.2,,
2025/2/12 13:36,64,75,1.25,14.2,86.3,87.4,0.454,21.4,30.2,,
2025/2/12 13:36,76,93,1.27,14.4,85.9,86.8,0.454,21.4,30.2,,
2025/2/12 13:36,65,77,1.27,14.5,85.6,83.2,0.454,21.4,30.2,,
2025/2/12 13:36,60,69,1.38,15.3,84.3,83.5,0.454,21.4,30.2,,
2025/2/12 13:36,60,70,1.3,14.4,82.5,83.4,0.454,21.4,30.1,,
2025/2/12 13:36,40,47,1.3,14.3,83.4,84,0.449,21.4,30.1,,
2025/2/12 13:37,0.2777777777777778,0.2777777777777778,3.185,31.75,138.7388888888889,72.05555555555557,0.5817222222222223,21.533333333333342,30.00555555555555,,
2025/2/12 13:37,1,1,1.3,14.5,80.2,87.7,0.451,21.4,30.1,,
2025/2/12 13:37,1,1,1.28,14.5,81.2,86.4,0.449,21.5,30.1,,
2025/2/12 13:37,1,1,1.29,14.4,84,82,0.446,21.5,30.1,,
2025/2/12 13:37,1,1,1.3,14.7,80.9,85.6,0.443,21.5,30.1,,
2025/2/12 13:37,1,1,1.28,14.5,77.8,88.6,0.441,21.5,30.1,,
2025/2/12 13:37,0,0,1.26,14.1,82.6,81.7,0.446,21.5,30,,
2025/2/12 13:37,0,0,1.33,14.3,89.4,74.4,0.446,21.5,30,,
2025/2/12 13:37,0,0,1.38,15,92.5,80.4,0.446,21.5,30,,
2025/2/12 13:37,0,0,1.3,14.1,85.2,90.2,0.438,21.5,30,,
2025/2/12 13:37,0,0,1.3,14.4,89.5,79.6,0.446,21.5,30,,
2025/2/12 13:37,0,0,1.52,16.6,94.5,85,0.479,21.5,30,,
2025/2/12 13:37,0,0,2.08,21,133.1,66.6,0.611,21.6,30,,
2025/2/12 13:37,0,0,3.49,33.3,195.7,40.1,0.764,21.6,30,,
2025/2/12 13:37,0,0,5.28,50.2,223.5,53.9,0.827,21.6,29.9,,
2025/2/12 13:37,0,0,6.55,62.8,257.9,45,0.869,21.6,29.9,,
2025/2/12 13:37,0,0,8.11,76.3,269.9,42.6,0.873,21.6,30,,
2025/2/12 13:37,0,0,8.63,82.6,248.1,61.4,0.818,21.6,29.9,,
2025/2/12 13:37,0,0,8.65,84.2,231.3,65.8,0.778,21.6,29.9,,
2025/2/12 13:39,0,0,3.595263157894737,53.98947368421052,232.20000000000002,209.56842105263155,0.5617894736842105,21.926315789473687,29.610526315789482,,
2025/2/12 13:39,0,0,5.24,127.6,617.2,755.4,0.741,21.8,29.7,,
2025/2/12 13:39,0,0,5.27,99.9,521.9,530.3,0.712,21.8,29.7,,
2025/2/12 13:39,0,0,5.1,87.8,430.4,374.6,0.681,21.9,29.8,,
2025/2/12 13:39,0,0,4.44,74.7,344.5,277.8,0.625,21.9,29.7,,
2025/2/12 13:39,0,0,4.26,70.2,327.4,246.1,0.617,21.9,29.7,,
2025/2/12 13:39,0,0,3.95,62.1,267,203.4,0.585,21.9,29.7,,
2025/2/12 13:39,0,0,3.63,57.2,223.7,184.6,0.565,21.9,29.7,,
2025/2/12 13:39,0,0,3.45,52.3,207.1,166.5,0.56,21.9,29.6,,
2025/2/12 13:39,0,0,3.37,48.5,187.5,151.1,0.544,21.9,29.6,,
2025/2/12 13:39,0,0,3.26,44.4,167.1,133.2,0.528,21.9,29.6,,
2025/2/12 13:39,0,0,3.11,41.4,146.3,126,0.519,21.9,29.6,,
2025/2/12 13:39,0,0,3.09,38.8,136.9,116.7,0.519,22,29.6,,
2025/2/12 13:39,0,0,3.06,37,120.8,114.5,0.511,21.9,29.5,,
2025/2/12 13:39,0,0,2.96,34.7,122.1,108,0.505,22,29.6,,
2025/2/12 13:39,0,0,2.87,32.5,124.2,104.2,0.495,22,29.5,,
2025/2/12 13:39,0,0,2.93,31.3,123.4,102.7,0.495,22,29.5,,
2025/2/12 13:39,0,0,2.83,29.1,124,90.6,0.495,22,29.5,,
2025/2/12 13:39,0,0,2.77,27.9,113.3,97.8,0.49,22,29.5,,
2025/2/12 13:39,0,0,2.72,28.4,107,98.3,0.487,22,29.5,,
2025/2/12 13:40,0,0,3.0265000000000004,39.055,109.5,79.185,0.5238,22.109999999999996,29.305000000000007,,
2025/2/12 13:40,0,0,2.71,30.3,103.6,92.5,0.487,22,29.4,,
2025/2/12 13:40,0,0,2.72,34.9,105.3,89.1,0.487,22,29.4,,
2025/2/12 13:40,0,0,2.71,36.6,106.3,88.2,0.487,22,29.5,,
2025/2/12 13:40,0,0,2.73,37.5,105.9,83.4,0.487,22,29.4,,
2025/2/12 13:40,0,0,2.67,37.3,108.7,78,0.479,22.1,29.4,,
2025/2/12 13:40,0,0,2.7,38.1,116,76.9,0.479,22.1,29.4,,
2025/2/12 13:40,0,0,2.62,37.5,101.1,86.5,0.479,22.1,29.3,,
2025/2/12 13:40,0,0,2.6,37.3,104.6,86.4,0.479,22.1,29.3,,
2025/2/12 13:40,0,0,2.59,36.6,114.9,76.9,0.484,22.1,29.3,,
2025/2/12 13:40,0,0,2.55,36.4,111.8,75.9,0.49,22.1,29.3,,
2025/2/12 13:40,0,0,2.6,36.5,116.2,74.2,0.503,22.1,29.3,,
2025/2/12 13:40,0,0,2.77,37.5,117,71.9,0.525,22.1,29.3,,
2025/2/12 13:40,0,0,2.9,38.4,111.6,76.1,0.539,22.1,29.3,,
2025/2/12 13:40,0,0,3.01,39.2,109.6,81.3,0.544,22.1,29.3,,
2025/2/12 13:40,0,0,3.27,41,112.5,78.9,0.568,22.2,29.2,,
2025/2/12 13:40,0,0,3.67,44,112.6,80.1,0.593,22.2,29.2,,
